Entry	Entry name	Status	Protein names	Gene names	Organism	Taxonomic lineage (ALL)	Taxonomic lineage IDs	Taxonomic lineage (CLASS)	Taxonomic lineage (PHYLUM)	Taxonomic lineage (SUBPHYLUM)	Taxonomic lineage (SUBCLASS)	Taxonomic lineage (KINGDOM)	Taxonomic lineage (SUPERPHYLUM)	Taxonomic lineage (SUPERKINGDOM)	Taxonomic lineage (SUPERCLASS)	Taxonomic lineage (SUBKINGDOM)	Proteomes
B4J613	AKTP1_DROGR	reviewed	Protein crossbronx	cbx GH20212	Drosophila grimshawi (Hawaiian fruit fly) (Idiomyia grimshawi)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Endopterygota, Diptera, Brachycera, Muscomorpha, Eremoneura, Cyclorrhapha, Schizophora, Acalyptratae, Ephydroidea, Drosophilidae (pomace flies), Drosophilinae, Drosophilini, Drosophila (fruit flies), Hawaiian Drosophila, picture wing clade, grimshawi clade, grimshawi group, grimshawi subgroup, Drosophila grimshawi (Hawaiian fruit fly) (Idiomyia grimshawi)	7222	Insecta	Arthropoda	Hexapoda	Pterygota (winged insects)	Metazoa		Eukaryota			UP000001070: Unassembled WGS sequence
O97883	CCR5_NOMLE	reviewed	C-C chemokine receptor type 5 (C-C CKR-5) (CC-CKR-5) (CCR-5) (CCR5) (CD antigen CD195)	CCR5 CMKBR5	Nomascus leucogenys (Northern white-cheeked gibbon) (Hylobates leucogenys)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea (apes), Hylobatidae (gibbons), Nomascus, Nomascus leucogenys (Northern white-cheeked gibbon) (Hylobates leucogenys)	61853	Mammalia	Chordata	Craniata		Metazoa		Eukaryota	Sarcopterygii		UP000001073: Unplaced
Q6B4U9	PRDX1_MYOLU	reviewed	Peroxiredoxin-1 (EC 1.11.1.24) (Thioredoxin-dependent peroxiredoxin 1)	PRDX1 PAG	Myotis lucifugus (Little brown bat)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Laurasiatheria, Chiroptera, Microchiroptera, Vespertilionidae (common bats), Myotis, Myotis lucifugus (Little brown bat)	59463	Mammalia	Chordata	Craniata		Metazoa		Eukaryota	Sarcopterygii		UP000001074: Unassembled WGS sequence
P55262	ADK_CRIGR	reviewed	Adenosine kinase (AK) (EC 2.7.1.20) (Adenosine 5'-phosphotransferase)	ADK	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Glires (Rodents and rabbits), Rodentia, Myomorpha (mice and others), Muroidea, Cricetidae, Cricetinae (hamsters), Cricetulus, Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)	10029	Mammalia	Chordata	Craniata		Metazoa		Eukaryota	Sarcopterygii		UP000001075: Unassembled WGS sequence
B4HNW4	PTK7_DROSE	reviewed	Tyrosine-protein kinase-like otk (Tyrosine-protein kinase-like 7 homolog)	otk GM20393	Drosophila sechellia (Fruit fly)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Endopterygota, Diptera, Brachycera, Muscomorpha, Eremoneura, Cyclorrhapha, Schizophora, Acalyptratae, Ephydroidea, Drosophilidae (pomace flies), Drosophilinae, Drosophilini, Drosophila (fruit flies), Sophophora, melanogaster group, melanogaster subgroup, Drosophila sechellia (Fruit fly)	7238	Insecta	Arthropoda	Hexapoda	Pterygota (winged insects)	Metazoa		Eukaryota			UP000001292: Unassembled WGS sequence
E4X5D7	E4X5D7_OIKDI	unreviewed	Uncharacterized protein	GSOID_T00002370001	Oikopleura dioica (Tunicate)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Tunicata, Appendicularia (appendicularians), Copelata, Oikopleuridae, Oikopleura, Oikopleura dioica (Tunicate)	34765	Appendicularia (appendicularians)	Chordata	Tunicata		Metazoa		Eukaryota			UP000001307: Unassembled WGS sequence
Q645Y5	TA2R3_GORGO	reviewed	Taste receptor type 2 member 3 (T2R3)	TAS2R3	Gorilla gorilla gorilla (Western lowland gorilla)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea (apes), Hominidae (great apes), Homininae, Gorilla, Gorilla gorilla (western gorilla), Gorilla gorilla gorilla (Western lowland gorilla)	9595	Mammalia	Chordata	Craniata		Metazoa		Eukaryota	Sarcopterygii		UP000001519: Unplaced
B6NXD5	BABA2_BRAFL	reviewed	BRISC and BRCA1-A complex member 2 (BRCA1-A complex subunit BRE) (BRCA1/BRCA2-containing complex subunit 45) (Brain and reproductive organ-expressed protein)	BABAM2 BRE BRAFLDRAFT_269508	Branchiostoma floridae (Florida lancelet) (Amphioxus)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Cephalochordata, Leptocardii, Amphioxiformes, Branchiostomidae, Branchiostoma, Branchiostoma floridae (Florida lancelet) (Amphioxus)	7739	Leptocardii	Chordata	Cephalochordata		Metazoa		Eukaryota			UP000001554: Partially assembled WGS sequence
B7QK46	QPCT_IXOSC	reviewed	Glutaminyl-peptide cyclotransferase (EC 2.3.2.5) (Glutaminyl cyclase) (QC) (Glutaminyl-tRNA cyclotransferase)	Qptc IscW_ISCW023264	Ixodes scapularis (Black-legged tick) (Deer tick)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Chelicerata, Arachnida, Acari, Parasitiformes, Ixodida (ticks), Ixodoidea, Ixodidae (hardbacked ticks), Ixodinae, Ixodes, Ixodes scapularis (Black-legged tick) (Deer tick)	6945	Arachnida	Arthropoda	Chelicerata	Acari	Metazoa		Eukaryota			UP000001555: Unassembled WGS sequence
A7SG48	U728_NEMVE	reviewed	UPF0728 protein v1g117062	v1g117062	Nematostella vectensis (Starlet sea anemone)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Cnidaria, Anthozoa (anthozoans), Hexacorallia, Actiniaria (sea anemones), Edwardsiidae, Nematostella, Nematostella vectensis (Starlet sea anemone)	45351	Anthozoa (anthozoans)	Cnidaria		Hexacorallia	Metazoa		Eukaryota			UP000001593: Unassembled WGS sequence
Q5R780	PSN1_PONAB	reviewed	Presenilin-1 (PS-1) (EC 3.4.23.-) [Cleaved into: Presenilin-1 NTF subunit; Presenilin-1 CTF subunit; Presenilin-1 CTF12 (PS1-CTF12)]	PSEN1	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea (apes), Hominidae (great apes), Ponginae, Pongo, Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	9601	Mammalia	Chordata	Craniata		Metazoa		Eukaryota	Sarcopterygii		UP000001595: Unplaced
P33396	AGTR1_MELGA	reviewed	Type-1 angiotensin II receptor (Angiotensin II type-1 receptor) (AT1)	AGTR1	Meleagris gallopavo (Wild turkey)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Sauropsida, Sauria (diapsids), Archelosauria, Archosauria, Dinosauria, Saurischia, Theropoda, Coelurosauria, Aves, Neognathae, Galloanserae, Galliformes, Phasianidae (turkeys), Meleagridinae, Meleagris, Meleagris gallopavo (Wild turkey)	9103	Aves	Chordata	Craniata		Metazoa		Eukaryota	Sarcopterygii		UP000001645: Chromosome 11
P41592	OPSR_ANOCA	reviewed	Red-sensitive opsin (Red cone photoreceptor pigment)		Anolis carolinensis (Green anole) (American chameleon)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Sauropsida, Sauria (diapsids), Lepidosauria (lepidosaurs), Squamata (squamates), Bifurcata (split-tongued squamates), Unidentata, Episquamata, Toxicofera, Iguania (iguanian lizards), Dactyloidae, Anolis, Anolis carolinensis (Green anole) (American chameleon)	28377	Lepidosauria (lepidosaurs)	Chordata	Craniata		Metazoa		Eukaryota	Sarcopterygii		UP000001646: Chromosome 2
Q8MHY7	UROK_RABIT	reviewed	Urokinase-type plasminogen activator (U-plasminogen activator) (uPA) (EC 3.4.21.73) [Cleaved into: Urokinase-type plasminogen activator long chain A; Urokinase-type plasminogen activator short chain A; Urokinase-type plasminogen activator chain B]	PLAU	Oryctolagus cuniculus (Rabbit)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Glires (Rodents and rabbits), Lagomorpha, Leporidae (rabbits and hares), Oryctolagus, Oryctolagus cuniculus (Rabbit)	9986	Mammalia	Chordata	Craniata		Metazoa		Eukaryota	Sarcopterygii		UP000001811: Chromosome 18
O44091	VATF1_DROPS	reviewed	V-type proton ATPase subunit F 1 (V-ATPase subunit F 1) (V-ATPase 14 kDa subunit) (Vacuolar proton pump subunit F 1)	Vha14 GA20901	Drosophila pseudoobscura pseudoobscura (Fruit fly)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Endopterygota, Diptera, Brachycera, Muscomorpha, Eremoneura, Cyclorrhapha, Schizophora, Acalyptratae, Ephydroidea, Drosophilidae (pomace flies), Drosophilinae, Drosophilini, Drosophila (fruit flies), Sophophora, obscura group, pseudoobscura subgroup, Drosophila pseudoobscura, Drosophila pseudoobscura pseudoobscura (Fruit fly)	46245	Insecta	Arthropoda	Hexapoda	Pterygota (winged insects)	Metazoa		Eukaryota			UP000001819: Chromosome 3
Q9TXI7	PK3C3_CAEEL	reviewed	Phosphatidylinositol 3-kinase catalytic subunit type 3 (PI3-kinase type 3) (PI3K type 3) (EC 2.7.1.137) (Phosphoinositide-3-kinase class 3)	vps-34 let-512 B0025.1	Caenorhabditis elegans	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditina, Rhabditomorpha, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans	6239	Chromadorea	Nematoda (roundworms)			Metazoa		Eukaryota			UP000001940: Chromosome I
Q863J2	TFF2_CANLF	reviewed	Trefoil factor 2	TFF2	Canis lupus familiaris (Dog) (Canis familiaris)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Laurasiatheria, Carnivora, Caniformia, Canidae (dog, coyote, wolf, fox), Canis, Canis lupus (Gray wolf), Canis lupus familiaris (Dog) (Canis familiaris)	9615	Mammalia	Chordata	Craniata		Metazoa		Eukaryota	Sarcopterygii		UP000002254: Unplaced
Q1XHY9	VATG2_PANTR	reviewed	V-type proton ATPase subunit G 2 (V-ATPase subunit G 2) (Vacuolar proton pump subunit G 2)	ATP6V1G2	Pan troglodytes (Chimpanzee)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea (apes), Hominidae (great apes), Homininae, Pan (chimpanzees), Pan troglodytes (Chimpanzee)	9598	Mammalia	Chordata	Craniata		Metazoa		Eukaryota	Sarcopterygii		UP000002277: Unplaced
A7X5R6	BAG6_ORNAN	reviewed	Large proline-rich protein BAG6 (BCL2-associated athanogene 6) (HLA-B-associated transcript 3)	BAG6 BAT3	Ornithorhynchus anatinus (Duckbill platypus)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Prototheria, Monotremata (egg-laying mammals), Ornithorhynchidae, Ornithorhynchus, Ornithorhynchus anatinus (Duckbill platypus)	9258	Mammalia	Chordata	Craniata		Metazoa		Eukaryota	Sarcopterygii		UP000002279: Unplaced
Q28462	AMEL_MONDO	reviewed	Amelogenin	AMEL	Monodelphis domestica (Gray short-tailed opossum)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Metatheria, Didelphimorphia, Didelphidae (opossums), Didelphinae, Monodelphis (short-tailed opossums), Monodelphis domestica (Gray short-tailed opossum)	13616	Mammalia	Chordata	Craniata		Metazoa		Eukaryota	Sarcopterygii		UP000002280: Unplaced
Q3BCR6	TPMT_HORSE	reviewed	Thiopurine S-methyltransferase (EC 2.1.1.67) (Thiopurine methyltransferase)	TPMT	Equus caballus (Horse)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Laurasiatheria, Perissodactyla (odd-toed ungulates), Equidae (horses), Equus, Equus, Equus caballus (Horse)	9796	Mammalia	Chordata	Craniata		Metazoa		Eukaryota	Sarcopterygii		UP000002281: Unplaced
B0WC36	BOP1_CULQU	reviewed	Ribosome biogenesis protein BOP1 homolog	CPIJ004506	Culex quinquefasciatus (Southern house mosquito) (Culex pungens)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Endopterygota, Diptera, Nematocera, Culicomorpha, Culicoidea, Culicidae (mosquitos), Culicinae, Culicini, Culex, Culex, Culex pipiens complex, Culex quinquefasciatus (Southern house mosquito) (Culex pungens)	7176	Insecta	Arthropoda	Hexapoda	Pterygota (winged insects)	Metazoa		Eukaryota			UP000002320: Partially assembled WGS sequence
P0CG55	UBB_SHEEP	reviewed	Polyubiquitin-B [Cleaved into: Ubiquitin-related; Ubiquitin]	UBB	Ovis aries (Sheep)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Laurasiatheria, Artiodactyla, Ruminantia, Pecora, Bovidae, Caprinae, Ovis, Ovis aries (Sheep)	9940	Mammalia	Chordata	Craniata		Metazoa		Eukaryota	Sarcopterygii		UP000002356: Unplaced
A0A7M6UNN1	PISP_NASVI	reviewed	Small pacifastin protease inhibitor (NvSPPI) (PPI)		Nasonia vitripennis (Parasitic wasp)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Endopterygota, Hymenoptera, Apocrita (wasps, ants, and bees), Parasitoida, Chalcidoidea, Pteromalidae, Pteromalinae, Nasonia, Nasonia vitripennis (Parasitic wasp)	7425	Insecta	Arthropoda	Hexapoda	Pterygota (winged insects)	Metazoa		Eukaryota			UP000002358: Unplaced
